ind,ozone,dzone,obs,dbs
47161,11,2,24,261
60802,21,7,400,31
45904,10,24,314,458
41812,9,22,165,466
87116,25,22,129,231
37415,8,27,1697,1671
83971,24,27,1669,461
95801,26,26,325,76
39590,9,8,176,1674
19148,3,22,339,957
91493,26,8,303,1698
7283,1,24,506,1664
39009,9,3,1268,342
63632,21,20,54,540
97357,27,8,206,1701
1175,1,8,1678,1696
57646,21,1,54,215
94155,26,22,134,252
99365,27,25,408,70
22215,4,23,375,183
25658,7,1,310,215
32362,8,16,1675,291
294,1,2,1695,1693
29107,8,7,369,33
69205,22,9,251,177
98164,27,11,195,257
32080,8,11,1703,949
64655,21,24,1655,1664
15754,2,24,345,1665
77566,23,24,1651,1666
39175,9,4,163,375
62316,21,9,397,1161
30763,8,9,947,144
14839,2,23,355,159
5892,1,22,1,467
71505,23,1,741,380
42897,9,25,1180,102
91626,26,9,95,1268
31334,8,10,1696,1628
5893,1,22,1678,251
64453,21,24,43,1662
69760,22,18,51,153
30701,8,9,1701,1339
76394,23,16,156,856
60837,21,7,1646,64
89297,26,1,134,1695
53195,16,8,351,1675
51646,12,21,63,1655
90270,26,3,377,361
39734,9,8,164,368
20068,3,25,362,99
89416,26,2,304,343
33745,8,21,1696,397
16402,2,26,344,72
73999,23,4,182,375
74222,23,5,185,1682
87517,25,23,131,186
62953,21,11,980,986
53632,16,19,292,242
55086,18,1,149,506
24389,5,26,1682,119
18399,3,11,339,26
88414,25,27,98,203
10085,2,8,1681,1674
23169,5,2,1690,1679
3525,1,16,1678,276
46577,11,1,1626,1
20486,3,27,339,402
39691,9,8,1160,391
90902,26,8,96,1673
55929,19,9,238,1161
32202,8,12,370,309
12261,2,16,346,275
77795,23,25,160,332
44835,10,8,168,947
49740,11,22,989,501
25610,7,1,33,1694
87205,25,22,122,230
5339,1,22,380,253
94278,26,23,325,766
54892,17,22,291,254
71325,23,1,186,215
72885,23,2,188,261
90949,26,8,327,367
81577,24,11,1662,986
78185,23,26,740,75
32888,8,21,862,1657
76179,23,12,158,60
20267,3,26,338,94
91630,26,9,1070,144
82334,24,21,411,1656
67772,22,2,979,295
28626,8,5,363,1329
85364,25,8,131,1702
75117,23,8,741,1702
85933,25,9,70,164
85827,25,9,332,1341
72522,23,2,742,1680
95117,26,24,75,1670
56475,20,1,88,1695
94603,26,23,92,187
62760,21,11,1654,984
97508,27,8,203,1696
24083,5,22,1343,979
34966,8,23,367,52
56064,19,18,242,1580
2200,1,9,1678,163
94394,26,23,92,1651
17181,2,27,772,201
82537,24,22,410,466
27912,8,2,1698,356
9161,1,27,1694,463
28900,8,5,1675,1329
37129,8,26,1698,97
12372,2,17,344,291
66981,22,1,227,506
76508,23,19,156,1512
66744,22,1,48,506
69440,22,11,228,222
16671,2,26,345,1070
46441,11,1,222,1695
75216,23,8,185,364
40631,9,8,1337,1676
69552,22,12,979,37
25293,6,22,311,467
54038,16,23,262,156
21379,4,11,374,996
17085,2,27,295,1659
83925,24,27,1668,199
25014,6,8,1508,363
69888,22,21,504,1654
94392,26,23,77,52
45272,10,17,319,291
40437,9,8,176,386
99438,27,26,204,74
78371,23,26,184,329
88647,26,1,76,1678
7250,1,24,1695,458
6806,1,23,376,183
44649,10,8,142,1674
85728,25,8,67,369
9893,2,7,1680,30
92560,26,11,330,951
5614,1,22,380,503
10840,2,9,347,165
79585,24,2,458,354
75457,23,9,183,1336
98787,27,22,1672,501
10630,2,8,1679,1703
78859,24,1,457,1677
91179,26,8,303,388
11063,2,9,347,1332
6,1,1,1678,1
4820,1,21,1,954
40344,9,8,1334,387
69543,22,11,502,949
21512,4,18,375,110
56287,19,24,235,411
62966,21,11,1654,952
65524,21,26,400,93
60922,21,8,44,369
12972,2,21,346,397
57482,21,1,41,506
19173,3,22,341,503
13958,2,22,1679,466
81729,24,16,1661,773
77554,23,24,964,459
25043,6,8,948,366
80320,24,8,457,366
55675,19,2,1572,1693
54311,16,26,265,93
38894,9,2,1332,357
49199,11,19,1626,1688
21569,4,21,374,1653
57539,21,1,1654,376
21505,4,17,375,858
13038,2,21,346,982
65111,21,25,399,126
39272,9,4,1268,542
23519,5,8,1682,1697
26564,7,27,32,461
15713,2,24,295,1662
42296,9,23,165,159
7350,1,24,1,411
16246,2,25,347,101
60070,21,3,1657,340
42535,9,24,1333,1665
91079,26,8,93,388
66988,22,1,957,376
55069,17,27,858,193
